1  0
2  1
3  0.6
4  1.2
5  2.4
6  1.6
7  2
8  2
9  2.6
10  2.2
11  2.4
12  1.8
13  3
14  2.8
15  2.2
16  2.6
17  2.6
18  4.4
19  5.8
20  6.8
